age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
34,1,F,African-American,Male,0,10,1
69,0,F,Other,Male,0,0,1
24,1,F,African-American,Male,4,1,1
44,0,M,Other,Male,0,1,1
41,1,F,Other,Male,14,6,1
43,0,F,Other,Male,3,0,1
39,0,M,Other,Female,0,2,1
27,0,F,Other,Male,0,1,1
23,1,M,African-American,Male,3,4,1
37,0,M,Other,Female,0,0,1
41,0,F,African-American,Male,0,0,1
47,1,F,Other,Female,1,14,1
31,1,F,African-American,Male,7,3,1
37,0,M,Other,Male,0,0,1
25,0,F,African-American,Male,3,1,0
31,1,F,Other,Male,6,1,1
31,1,F,Other,Male,5,1,1
64,1,F,African-American,Male,13,1,1
21,1,F,African-American,Male,1,3,0
27,1,M,Other,Male,0,0,1
21,0,F,Other,Female,0,1,1
24,1,F,Other,Male,1,0,1
43,0,M,Other,Male,1,1,1
32,0,M,Other,Male,0,1,1
27,1,F,African-American,Male,8,17,1
26,1,F,African-American,Male,5,0,1
33,1,F,African-American,Male,0,37,0
30,1,F,Other,Male,9,44,0
32,1,F,African-American,Male,4,1,0
55,0,F,Other,Male,0,2,1
49,1,F,Other,Male,7,3,1
33,1,M,Other,Female,4,11,1
24,1,M,Other,Male,1,1,1
34,1,F,African-American,Male,21,33,0
29,0,M,Other,Male,0,-1,1
21,0,F,African-American,Female,2,79,0
51,0,M,African-American,Male,2,1,1
29,1,M,Other,Male,2,0,1
51,0,F,African-American,Female,7,1,1
29,1,F,African-American,Male,0,0,1
25,1,M,Other,Male,9,6,0
35,1,F,African-American,Male,13,0,0
49,0,M,Other,Male,0,0,1
29,0,F,African-American,Male,0,0,1
29,1,F,Other,Male,1,0,1
28,0,F,Other,Female,0,0,1
31,0,F,African-American,Male,15,135,1
24,1,F,African-American,Male,2,1,1
30,0,M,Other,Male,0,23,1
49,0,M,African-American,Male,4,0,1
53,0,F,Other,Male,8,13,1
35,0,F,African-American,Male,5,0,1
27,1,F,African-American,Male,15,1,0
38,1,M,Other,Male,4,1,1
22,1,F,African-American,Male,1,1,1
29,1,F,African-American,Male,4,18,0
62,0,M,Other,Male,0,-1,1
27,1,F,African-American,Male,6,30,1
33,0,M,Other,Male,0,1,1
56,0,M,African-American,Female,0,3,1
45,1,F,Other,Male,6,241,1
22,0,F,Other,Male,1,1,1
39,0,M,African-American,Male,1,4,1
29,1,F,African-American,Male,5,1,1
27,1,F,Other,Male,1,14,1
40,0,F,African-American,Male,2,3,1
22,1,M,African-American,Male,1,16,1
22,0,F,Other,Male,0,57,0
26,1,F,African-American,Female,1,2,1
32,0,F,African-American,Male,0,1,1
41,0,M,African-American,Male,1,1,1
30,1,M,African-American,Male,8,1,0
50,1,F,Other,Male,0,0,1
25,1,F,African-American,Male,14,7,0
20,1,F,Other,Male,0,1,1
22,1,F,African-American,Male,2,30,0
35,0,M,African-American,Female,1,0,1
36,1,F,African-American,Male,9,3,1
26,1,F,Other,Male,7,0,0
21,1,F,Other,Male,1,3,1
25,1,F,Other,Male,9,0,0
20,0,F,Other,Female,0,0,1
39,1,F,Other,Male,2,-1,1
54,0,M,Other,Female,0,0,1
44,0,M,Other,Female,0,1,1
19,1,M,African-American,Male,1,9,1
30,0,F,African-American,Male,1,0,1
39,1,F,Other,Female,0,1,1
24,1,F,Other,Male,8,12,1
30,0,F,Other,Male,0,5,1
31,0,M,Other,Male,0,38,1
39,0,F,Other,Female,1,106,1
43,0,F,Other,Male,1,1,1
21,1,F,African-American,Male,3,6,0
38,1,M,Other,Male,5,2,1
34,0,F,Other,Male,0,14,1
33,1,F,African-American,Male,5,0,1
37,0,F,African-American,Male,3,1,1
42,1,F,Other,Male,1,0,1
41,1,F,African-American,Male,10,176,0
22,1,F,African-American,Male,0,0,1
33,1,F,African-American,Male,28,1,0
31,0,M,African-American,Male,1,1,1
30,0,F,Other,Female,1,1,1
31,1,F,Other,Male,13,471,0
27,1,F,African-American,Male,3,0,0
52,0,M,Other,Male,3,0,0
33,1,F,African-American,Male,19,0,0
42,0,F,Other,Male,6,-1,1
25,0,F,Other,Female,2,3,1
30,0,M,Other,Male,1,3,1
37,0,M,Other,Female,2,1,1
28,1,M,Other,Male,0,0,1
24,0,M,African-American,Female,0,2,1
29,1,F,Other,Female,10,7,1
44,1,M,Other,Male,2,-1,1
32,1,F,African-American,Male,3,8,1
31,1,M,Other,Male,2,15,1
31,0,M,African-American,Male,1,1,1
59,1,F,Other,Male,1,0,1
20,0,F,African-American,Female,1,2,0
43,0,M,Other,Female,0,0,1
38,1,F,African-American,Male,9,13,0
32,1,F,African-American,Male,11,1,1
